"","Water_Year","Region","Consumptive_Use_MAF","Date","Type"
"296",2015,"Mexico",1.657207,2015-01-01,"No Evap"
"297",2015,"Upper Basin",4.10750111317255,2015-01-01,"No Evap"
"298",2016,"Lower Basin",7.337483,2016-01-01,"No Evap"
"299",2016,"Mexico",1.645777,2016-01-01,"No Evap"
"300",2016,"Upper Basin",4.17511638350297,2016-01-01,"No Evap"
"301",2017,"Lower Basin",6.700985,2017-01-01,"No Evap"
"302",2017,"Mexico",1.647206,2017-01-01,"No Evap"
"303",2017,"Upper Basin",4.6090417459391,2017-01-01,"No Evap"
"304",2018,"Lower Basin",7.246391,2018-01-01,"No Evap"
"305",2018,"Mexico",1.616521,2018-01-01,"No Evap"
"306",2018,"Upper Basin",4.8398067375919,2018-01-01,"No Evap"
"307",2019,"Lower Basin",6.9233,2019-01-01,"No Evap"
"308",2019,"Mexico",1.651878,2019-01-01,"No Evap"
"309",2019,"Upper Basin",4.4350115012705,2019-01-01,"No Evap"
"310",2020,"Lower Basin",6.350268,2020-01-01,"No Evap"
"311",2020,"Mexico",1.642888,2020-01-01,"No Evap"
"312",2020,"Upper Basin",4.79997185603944,2020-01-01,"No Evap"
"313",2021,"Lower Basin",7.173238,2021-01-01,"No Evap"
"314",2021,"Mexico",1.610556,2021-01-01,"No Evap"
"315",2021,"Upper Basin",4.0902584902135,2021-01-01,"No Evap"
"316",2022,"Lower Basin",6.826689,2022-01-01,"No Evap"
"317",2022,"Mexico",1.610023,2022-01-01,"No Evap"
"318",2022,"Upper Basin",4.06236596950601,2022-01-01,"No Evap"
"319",2023,"Lower Basin",5.982561,2023-01-01,"No Evap"
"320",2023,"Mexico",1.570136,2023-01-01,"No Evap"
"321",2023,"Upper Basin",4.64749001968641,2023-01-01,"No Evap"
"322",2024,"Lower Basin",5.852611,2024-01-01,"No Evap"
"323",2024,"Mexico",1.47305,2024-01-01,"No Evap"
"324",2024,"Upper Basin",4.46368296291903,2024-01-01,"No Evap"
