"","Water_Year","State","Category","Region","Apportionment_Countable","Consumptive_Use","Consumptive_Use_MAF","Date"
"177",1974,"Colorado","Mineral","Upper Basin","Yes",18419.2,0.0184192,1974-01-01
"178",1974,"Colorado","Municipal and Industrial","Upper Basin","Yes",19715.5,0.0197155,1974-01-01
"179",1974,"Colorado","Power","Upper Basin","Yes",4718.28,0.00471828,1974-01-01
"180",1974,"Colorado","Reservoir Evaporation","Upper Basin","Yes",68807.3468475496,0.0688073468475496,1974-01-01
"181",1974,"Lake Powell","Reservoir Evaporation","Upper Basin","Yes",520678.1865457,0.5206781865457,1974-01-01
"182",1974,"Lower Basin Reservoirs","Reservoir Evaporation","Lower Basin","No",1073085,1.073085,1974-01-01
"183",1974,"Mexico","Mexico Deliveries","Mexico","Yes",1720496,1.720496,1974-01-01
"184",1974,"Nevada","Agriculture","Lower Basin","Yes",42,4.2e-05,1974-01-01
"185",1974,"Nevada","Export","Lower Basin","Yes",0,0,1974-01-01
"186",1974,"Nevada","Export Within System","Lower Basin","Yes",0,0,1974-01-01
"187",1974,"Nevada","Municipal and Industrial","Lower Basin","Yes",86391,0.086391,1974-01-01
"188",1974,"Nevada","Power","Lower Basin","Yes",12962,0.012962,1974-01-01
"189",1974,"New Mexico","Agriculture","Upper Basin","Yes",104685.598004012,0.104685598004012,1974-01-01
"190",1974,"New Mexico","Export","Upper Basin","Yes",45365.55386,0.04536555386,1974-01-01
"191",1974,"New Mexico","Mineral","Upper Basin","Yes",2826.4,0.0028264,1974-01-01
"192",1974,"New Mexico","Municipal and Industrial","Upper Basin","Yes",4466.2,0.0044662,1974-01-01
"193",1974,"New Mexico","Power","Upper Basin","Yes",23429.99524,0.02342999524,1974-01-01
"194",1974,"New Mexico","Reservoir Evaporation","Upper Basin","Yes",22938.2282474,0.0229382282474,1974-01-01
"195",1974,"Utah","Agriculture","Upper Basin","Yes",611249.642037146,0.611249642037146,1974-01-01
"196",1974,"Utah","Export","Upper Basin","Yes",109479.418094314,0.109479418094314,1974-01-01
"197",1974,"Utah","Import","Upper Basin","Yes",-4100,-0.0041,1974-01-01
"198",1974,"Utah","Mineral","Upper Basin","Yes",9783.84,0.00978384,1974-01-01
"199",1974,"Utah","Municipal and Industrial","Upper Basin","Yes",6783.1,0.0067831,1974-01-01
"200",1974,"Utah","Power","Upper Basin","Yes",1849.82174538915,0.00184982174538915,1974-01-01
"201",1974,"Utah","Reservoir Evaporation","Upper Basin","Yes",151605.822712704,0.151605822712704,1974-01-01
"202",1974,"Wyoming","Agriculture","Upper Basin","Yes",348814.58628485,0.34881458628485,1974-01-01
"203",1974,"Wyoming","Export","Upper Basin","Yes",8505,0.008505,1974-01-01
"204",1974,"Wyoming","Import","Upper Basin","Yes",0,0,1974-01-01
"205",1974,"Wyoming","Mineral","Upper Basin","Yes",13508.8,0.0135088,1974-01-01
"206",1974,"Wyoming","Municipal and Industrial","Upper Basin","Yes",3666.2,0.0036662,1974-01-01
"207",1974,"Wyoming","Power","Upper Basin","Yes",9457.4354930352,0.0094574354930352,1974-01-01
"208",1974,"Wyoming","Reservoir Evaporation","Upper Basin","Yes",30547.2560071735,0.0305472560071735,1974-01-01
"209",1975,"Arizona","Agriculture","Lower Basin","Yes",1197397,1.197397,1975-01-01
"210",1975,"Arizona","Agriculture","Upper Basin","Yes",4523.19923834712,0.00452319923834712,1975-01-01
"211",1975,"Arizona","Export","Lower Basin","Yes",0,0,1975-01-01
"212",1975,"Arizona","Export","Upper Basin","Yes",0,0,1975-01-01
"213",1975,"Arizona","Export Within System","Lower Basin","Yes",0,0,1975-01-01
"214",1975,"Arizona","Import","Upper Basin","Yes",0,0,1975-01-01
"215",1975,"Arizona","Mineral","Upper Basin","Yes",0,0,1975-01-01
"216",1975,"Arizona","Municipal and Industrial","Lower Basin","Yes",13978,0.013978,1975-01-01
"217",1975,"Arizona","Municipal and Industrial","Upper Basin","Yes",3035.2,0.0030352,1975-01-01
"218",1975,"Arizona","Power","Lower Basin","Yes",0,0,1975-01-01
"219",1975,"Arizona","Power","Upper Basin","Yes",10557.1549256378,0.0105571549256378,1975-01-01
"220",1975,"Arizona","Reservoir Evaporation","Upper Basin","Yes",3999.99592,0.00399999592,1975-01-01
"221",1975,"California","Agriculture","Lower Basin","Yes",452790,0.45279,1975-01-01
"222",1975,"California","Export","Lower Basin","Yes",4461438,4.461438,1975-01-01
"223",1975,"California","Export Within System","Lower Basin","Yes",0,0,1975-01-01
"224",1975,"California","Municipal and Industrial","Lower Basin","Yes",4435,0.004435,1975-01-01
"225",1975,"California","Power","Lower Basin","Yes",0,0,1975-01-01
"226",1975,"Colorado","Agriculture","Upper Basin","Yes",1280350.58582201,1.28035058582201,1975-01-01
"227",1975,"Colorado","Export","Upper Basin","Yes",677844.954863544,0.677844954863544,1975-01-01
"228",1975,"Colorado","Import","Upper Basin","Yes",-137282.01,-0.13728201,1975-01-01
"229",1975,"Colorado","Mineral","Upper Basin","Yes",18589.2,0.0185892,1975-01-01
"230",1975,"Colorado","Municipal and Industrial","Upper Basin","Yes",20215.5,0.0202155,1975-01-01
"231",1975,"Colorado","Power","Upper Basin","Yes",5435.63,0.00543563,1975-01-01
"232",1975,"Colorado","Reservoir Evaporation","Upper Basin","Yes",63724.6531353982,0.0637246531353982,1975-01-01
"233",1975,"Lake Powell","Reservoir Evaporation","Upper Basin","Yes",537085.1283289,0.5370851283289,1975-01-01
"234",1975,"Lower Basin Reservoirs","Reservoir Evaporation","Lower Basin","No",1044078,1.044078,1975-01-01
"235",1975,"Mexico","Mexico Deliveries","Mexico","Yes",1655579,1.655579,1975-01-01
"236",1975,"Nevada","Agriculture","Lower Basin","Yes",4,4e-06,1975-01-01
"237",1975,"Nevada","Export","Lower Basin","Yes",0,0,1975-01-01
"238",1975,"Nevada","Export Within System","Lower Basin","Yes",0,0,1975-01-01
"239",1975,"Nevada","Municipal and Industrial","Lower Basin","Yes",80912,0.080912,1975-01-01
"240",1975,"Nevada","Power","Lower Basin","Yes",14262,0.014262,1975-01-01
"241",1975,"New Mexico","Agriculture","Upper Basin","Yes",96871.6004927278,0.0968716004927278,1975-01-01
"242",1975,"New Mexico","Export","Upper Basin","Yes",137368.66,0.13736866,1975-01-01
"243",1975,"New Mexico","Mineral","Upper Basin","Yes",2966.4,0.0029664,1975-01-01
"244",1975,"New Mexico","Municipal and Industrial","Upper Basin","Yes",4749.3,0.0047493,1975-01-01
