"","Water_Year","State","Region","Consumptive_Use_MAF","Date"
"378",2005,"Colorado","Upper Basin",1.81618260035285,2005-01-01
"379",2005,"Lake Powell","Upper Basin",0.3239789192073,2005-01-01
"380",2005,"Lower Basin Reservoirs","Lower Basin",0.808781,2005-01-01
"381",2005,"Mexico","Mexico",1.756361,2005-01-01
"382",2005,"Nevada","Lower Basin",0.264763,2005-01-01
"383",2005,"New Mexico","Upper Basin",0.436761274627985,2005-01-01
"384",2005,"Utah","Upper Basin",1.04430503490543,2005-01-01
"385",2005,"Wyoming","Upper Basin",0.589020675479978,2005-01-01
"386",2006,"Arizona","Lower Basin",2.692149,2006-01-01
"387",2006,"Arizona","Upper Basin",0.037850484075846,2006-01-01
"388",2006,"California","Lower Basin",4.437578,2006-01-01
"389",2006,"Colorado","Upper Basin",2.00150569313015,2006-01-01
"390",2006,"Lake Powell","Upper Basin",0.3629778388464,2006-01-01
"391",2006,"Lower Basin Reservoirs","Lower Basin",0.920183,2006-01-01
"392",2006,"Mexico","Mexico",1.654773,2006-01-01
"393",2006,"Nevada","Lower Basin",0.281309,2006-01-01
"394",2006,"New Mexico","Upper Basin",0.375001668801482,2006-01-01
"395",2006,"Utah","Upper Basin",0.96113361872723,2006-01-01
"396",2006,"Wyoming","Upper Basin",0.606740084145183,2006-01-01
"397",2007,"Arizona","Lower Basin",2.826636,2007-01-01
"398",2007,"Arizona","Upper Basin",0.0354113333275294,2007-01-01
"399",2007,"California","Lower Basin",4.436252,2007-01-01
"400",2007,"Colorado","Upper Basin",1.88157863035501,2007-01-01
"401",2007,"Lake Powell","Upper Basin",0.3711270169226,2007-01-01
"402",2007,"Lower Basin Reservoirs","Lower Basin",0.880348,2007-01-01
"403",2007,"Mexico","Mexico",1.619707,2007-01-01
"404",2007,"Nevada","Lower Basin",0.282422,2007-01-01
"405",2007,"New Mexico","Upper Basin",0.396148182719641,2007-01-01
"406",2007,"Utah","Upper Basin",0.983974237841869,2007-01-01
"407",2007,"Wyoming","Upper Basin",0.588281289033733,2007-01-01
"408",2008,"Arizona","Lower Basin",2.836023,2008-01-01
"409",2008,"Arizona","Upper Basin",0.035528233401788,2008-01-01
"410",2008,"California","Lower Basin",4.388373,2008-01-01
"411",2008,"Colorado","Upper Basin",2.11725157811831,2008-01-01
"412",2008,"Lake Powell","Upper Basin",0.3956391859127,2008-01-01
"413",2008,"Lower Basin Reservoirs","Lower Basin",0.857227,2008-01-01
"414",2008,"Mexico","Mexico",1.673419,2008-01-01
"415",2008,"Nevada","Lower Basin",0.267072,2008-01-01
"416",2008,"New Mexico","Upper Basin",0.438866391363168,2008-01-01
