"","HUC6","Peak_Avg_SWE","Snow_Year","Date","Days2Peak"
"352","Colorado Headwaters",15.3612903226,2010,2010-01-01,189
"353","Full Basin",15.50238497765,2010,2010-01-01,165
"354","Gunnison",17.8533333333,2010,2010-01-01,189
"355","Little Colorado",19.6818181818,2010,2010-01-01,162
"356","Lower Colorado - Lake Mead",18.8571428571,2010,2010-01-01,165
"357","Lower Green",12.7913043478,2010,2010-01-01,189
"358","Lower San Juan",19.85,2010,2010-01-01,166
"359","Salt",17.6777777778,2010,2010-01-01,162
"360","Upper Colorado - Dirty Devil",13.9714285714,2010,2010-01-01,189
"361","Upper Colorado - Dolores",19.0888888889,2010,2010-01-01,188
"362","Upper Gila",11.625,2010,2010-01-01,162
"363","Upper Green",11.5,2010,2010-01-01,195
"364","Upper San Juan",21.1,2010,2010-01-01,185
"365","Verde",18.6777777778,2010,2010-01-01,161
"366","White Yampa",21.045,2010,2010-01-01,190
"367","Colorado Headwaters",26.5806451613,2011,2011-01-01,214
"368","Full Basin",13.8267795478857,2011,2011-01-01,179
"369","Gunnison",21.82,2011,2011-01-01,214
"370","Little Colorado",7.0909090909,2011,2011-01-01,151
"371","Lower Colorado - Lake Mead",19.7,2011,2011-01-01,177
"372","Lower Green",20.8782608696,2011,2011-01-01,192
"373","Lower San Juan",11.6,2011,2011-01-01,161
"374","Salt",4.6777777778,2011,2011-01-01,151
"375","Upper Colorado - Dirty Devil",14.8125,2011,2011-01-01,179
"376","Upper Colorado - Dolores",16,2011,2011-01-01,179
"377","Upper Gila",2.4875,2011,2011-01-01,127
"378","Upper Green",23.0565217391,2011,2011-01-01,213
"379","Upper San Juan",18.325,2011,2011-01-01,178
"380","Verde",6.8888888889,2011,2011-01-01,151
"381","White Yampa",34.84,2011,2011-01-01,215
"382","Colorado Headwaters",11.5129032258,2012,2012-01-01,157
"383","Full Basin",8.90875708815714,2012,2012-01-01,155
"384","Gunnison",11.96,2012,2012-01-01,173
"385","Little Colorado",4.9545454545,2012,2012-01-01,117
"386","Lower Colorado - Lake Mead",6.4428571429,2012,2012-01-01,171
"387","Lower Green",9.1086956522,2012,2012-01-01,172
"388","Lower San Juan",9.95,2012,2012-01-01,154
"389","Salt",5.6111111111,2012,2012-01-01,117
"390","Upper Colorado - Dirty Devil",8.0875,2012,2012-01-01,159
"391","Upper Colorado - Dolores",12.1333333333,2012,2012-01-01,159
"392","Upper Gila",4.3,2012,2012-01-01,110
"393","Upper Green",12.7869565217,2012,2012-01-01,174
"394","Upper San Juan",15.1,2012,2012-01-01,161
"395","Verde",4.1,2012,2012-01-01,171
"396","White Yampa",15.365,2012,2012-01-01,157
"397","Colorado Headwaters",16.164516129,2013,2013-01-01,206
"398","Full Basin",9.33846138652143,2013,2013-01-01,160
"399","Gunnison",12.8666666667,2013,2013-01-01,202
"400","Little Colorado",7.7090909091,2013,2013-01-01,160
"401","Lower Colorado - Lake Mead",7.0642857143,2013,2013-01-01,160
"402","Lower Green",10.5,2013,2013-01-01,202
"403","Lower San Juan",10.5,2013,2013-01-01,161
"404","Salt",5.8333333333,2013,2013-01-01,148
"405","Upper Colorado - Dirty Devil",9.1625,2013,2013-01-01,160
"406","Upper Colorado - Dolores",12.4555555556,2013,2013-01-01,162
"407","Upper Gila",2.75,2013,2013-01-01,160
"408","Upper Green",12.8695652174,2013,2013-01-01,204
"409","Upper San Juan",14.8125,2013,2013-01-01,162
"410","Verde",5.6555555556,2013,2013-01-01,160
"411","White Yampa",19.47,2013,2013-01-01,206
"412","Colorado Headwaters",20.6967741935,2014,2014-01-01,189
"413","Full Basin",9.891613894,2014,2014-01-01,188
"414","Gunnison",17.44,2014,2014-01-01,189
"415","Little Colorado",3.1090909091,2014,2014-01-01,449
"416","Lower Colorado - Lake Mead",3.8714285714,2014,2014-01-01,152
"417","Lower Green",12.0608695652,2014,2014-01-01,188
"418","Lower San Juan",6.5,2014,2014-01-01,160
"419","Salt",2.2777777778,2014,2014-01-01,450
"420","Upper Colorado - Dirty Devil",8.725,2014,2014-01-01,187
"421","Upper Colorado - Dolores",12.8777777778,2014,2014-01-01,178
"422","Upper Gila",1.6125,2014,2014-01-01,450
"423","Upper Green",19.4652173913,2014,2014-01-01,189
"424","Upper San Juan",15.55625,2014,2014-01-01,189
"425","Verde",2.9555555556,2014,2014-01-01,449
"426","White Yampa",26.51,2014,2014-01-01,189
"427","Colorado Headwaters",12.7096774194,2015,2015-01-01,164
"428","Full Basin",8.42634148230714,2015,2015-01-01,156
"429","Gunnison",11.8733333333,2015,2015-01-01,158
"430","Little Colorado",4.4818181818,2015,2015-01-01,154
"431","Lower Colorado - Lake Mead",6.2642857143,2015,2015-01-01,156
"432","Lower Green",8.3,2015,2015-01-01,158
"433","Lower San Juan",8.2,2015,2015-01-01,154
"434","Salt",2.8111111111,2015,2015-01-01,122
"435","Upper Colorado - Dirty Devil",10.05,2015,2015-01-01,155
"436","Upper Colorado - Dolores",11.1111111111,2015,2015-01-01,164
"437","Upper Gila",2.7,2015,2015-01-01,123
"438","Upper Green",11.3304347826,2015,2015-01-01,163
"439","Upper San Juan",12.78125,2015,2015-01-01,158
"440","Verde",3.6333333333,2015,2015-01-01,153
"441","White Yampa",14.94,2015,2015-01-01,159
"442","Colorado Headwaters",16.4967741935,2016,2016-01-01,184
"443","Full Basin",9.84719186166429,2016,2016-01-01,129
"444","Gunnison",15.1,2016,2016-01-01,184
"445","Little Colorado",6.8272727273,2016,2016-01-01,127
"446","Lower Colorado - Lake Mead",8.9928571429,2016,2016-01-01,128
"447","Lower Green",11.447826087,2016,2016-01-01,183
"448","Lower San Juan",12.15,2016,2016-01-01,127
"449","Salt",6.4777777778,2016,2016-01-01,129
"450","Upper Colorado - Dirty Devil",9.525,2016,2016-01-01,183
"451","Upper Colorado - Dolores",14.4777777778,2016,2016-01-01,184
"452","Upper Gila",4.1625,2016,2016-01-01,129
"453","Upper Green",14.2782608696,2016,2016-01-01,183
"454","Upper San Juan",15.41875,2016,2016-01-01,130
"455","Verde",6.4555555556,2016,2016-01-01,124
"456","White Yampa",20.96,2016,2016-01-01,185
"457","Colorado Headwaters",17.9838709677,2017,2017-01-01,160
"458","Full Basin",15.0972880159643,2017,2017-01-01,158
"459","Gunnison",19.94,2017,2017-01-01,160
"460","Little Colorado",10.5909090909,2017,2017-01-01,151
"461","Lower Colorado - Lake Mead",15.1214285714,2017,2017-01-01,158
"462","Lower Green",20.5869565217,2017,2017-01-01,158
"463","Lower San Juan",14.15,2017,2017-01-01,160
"464","Salt",6.5555555556,2017,2017-01-01,121
"465","Upper Colorado - Dirty Devil",13.475,2017,2017-01-01,158
"466","Upper Colorado - Dolores",20.4666666667,2017,2017-01-01,160
"467","Upper Gila",3.45,2017,2017-01-01,121
"468","Upper Green",21.3739130435,2017,2017-01-01,192
"469","Upper San Juan",24.4375,2017,2017-01-01,158
"470","Verde",7.6111111111,2017,2017-01-01,152
"471","White Yampa",21.035,2017,2017-01-01,162
"472","Colorado Headwaters",13.9225806452,2018,2018-01-01,191
"473","Full Basin",6.50388683306429,2018,2018-01-01,174
"474","Gunnison",9.6866666667,2018,2018-01-01,179
"475","Little Colorado",2.5454545455,2018,2018-01-01,152
"476","Lower Colorado - Lake Mead",3.6928571429,2018,2018-01-01,174
