"","Water_Year","State","Consumptive_Use_MAF","Date"
"478",2018,"NewMexico",0.371630404641689,2018-01-01
"479",2018,"Utah",1.10373767225504,2018-01-01
"480",2018,"Wyoming",0.745641837062325,2018-01-01
"481",2019,"Arizona",2.67224912257262,2019-01-01
"482",2019,"California",4.042943,2019-01-01
"483",2019,"Colorado",2.00804510842995,2019-01-01
"484",2019,"Lake Powell",0.3555219783525,2019-01-01
"485",2019,"Lower Basin Reservoirs",0.77918,2019-01-01
"486",2019,"Mexico",1.651878,2019-01-01
"487",2019,"Nevada",0.239046,2019-01-01
"488",2019,"NewMexico",0.426239750771437,2019-01-01
"489",2019,"Utah",0.989365312054449,2019-01-01
"490",2019,"Wyoming",0.624901229089544,2019-01-01
"491",2020,"Arizona",2.34898438072835,2020-01-01
"492",2020,"California",3.753942,2020-01-01
"493",2020,"Colorado",2.13904494512852,2020-01-01
"494",2020,"Lake Powell",0.3721779017976,2020-01-01
"495",2020,"Lower Basin Reservoirs",0.787798,2020-01-01
"496",2020,"Mexico",1.642888,2020-01-01
"497",2020,"Nevada",0.260427,2020-01-01
"498",2020,"NewMexico",0.376103352816415,2020-01-01
"499",2020,"Utah",1.18611208296147,2020-01-01
"500",2020,"Wyoming",0.713448192607084,2020-01-01
"501",2021,"Arizona",2.53077480911692,2021-01-01
"502",2021,"California",4.406704,2021-01-01
"503",2021,"Colorado",1.85000603695662,2021-01-01
"504",2021,"Lake Powell",0.2767915836923,2021-01-01
"505",2021,"Lower Basin Reservoirs",0.805155,2021-01-01
"506",2021,"Mexico",1.610556,2021-01-01
"507",2021,"Nevada",0.246527,2021-01-01
"508",2021,"NewMexico",0.363115242554944,2021-01-01
"509",2021,"Utah",0.965240543769677,2021-01-01
"510",2021,"Wyoming",0.624337274123042,2021-01-01
"511",2022,"Arizona",2.17850522008167,2022-01-01
"512",2022,"California",4.430714,2022-01-01
"513",2022,"Colorado",1.90956321797532,2022-01-01
"514",2022,"Lake Powell",0.2031509918304,2022-01-01
"515",2022,"Lower Basin Reservoirs",0.748051,2022-01-01
"516",2022,"Mexico",1.610023,2022-01-01
"517",2022,"Nevada",0.228192,2022-01-01
"518",2022,"NewMexico",0.35121395859539,2022-01-01
"519",2022,"Utah",0.954633248659004,2022-01-01
"520",2022,"Wyoming",0.633082332364227,2022-01-01
"521",2023,"Arizona",1.95342781960707,2023-01-01
